1001 Teilenummer;;;;;;;
1002 Teilebezeichnung;Kolbenstange_V5;;Kolbenstange_V5;;Kolbenstange_V5;;
2002 Merkmalbezeichnung;Koaxalit�t;;Durchmesser nach Gewinde;;L�nge;;
2101 Nennma�;0,0000;;0,0000;;163,6000;;
2104 Toleranzwert;0;;0;;0;;
2110 Untere Spezifikationsgrenze;0,0000;;-0,0180;;163,4500;;
2111 Obere Spezifikationsgrenze;50,0000;;0,0180;;163,7500;;
Messwerte;14 Teileidentnummer;1 Messwert;14 Teileidentnummer;1 Messwert;14 Teileidentnummer;1 Messwert;
;205401;29,4;205401;0,0055;205401;163,636;
;205403;53,8;205403;-0,004;205403;163,742;
;205501;48,3;205501;-0,0045;205501;163,692;
;205503;62,2;205503;-0,0115;205503;163,646;
;205202;21,1;205202;-0,0005;205202;163,673;
;205304;34,3;205304;-0,0105;205304;163,652;
;205204;44;205204;-0,0075;205204;163,646;
;205402;54,1;205402;-0,0045;205402;163,636;
;205404;45,1;205404;-0,008;205404;163,695;
;205502;37,5;205502;-0,008;205502;163,658;
;205504;35,4;205504;-0,0095;205504;163,701;
;205903;12,7;205903;-0,014;205903;163,653;
;205901;41,8;205901;-0,005;205901;163,623;
;205803;20,1;205803;-0,012;205803;163,69;
;205801;66,4;205801;0;205801;163,698;
;205703;39,2;205703;-0,0095;205703;163,645;
;205701;30,6;205701;-0,0015;205701;163,649;
;205603;46,3;205603;-0,0095;205603;163,646;
;206002;41,5;206002;-0,01;206002;163,62;
;206004;22,2;206004;-0,0135;206004;163,61;
;205904;49,2;205904;-0,0175;205904;163,639;
;205902;46;205902;-0,021;205902;163,676;
;205804;36,7;205804;-0,0135;205804;163,644;
;205802;31,5;205802;-0,0115;205802;163,743;
;205704;58,2;205704;-0,0125;205704;163,646;
;205702;35,3;205702;-0,003;205702;163,655;
;205604;20,2;205604;-0,011;205604;163,656;
;205602;40,1;205602;-0,0115;205602;163,734;
;205004;34,6;205004;-0,0025;205004;163,632;
;205002;46,7;205002;-0,002;205002;163,639;
;204903;66,6;204903;-0,0005;204903;163,636;
;204901;55,6;204901;0,0015;204901;163,64;
;204803;25,1;204803;-0,0095;204803;163,639;
;204801;23,1;204801;-0,002;204801;163,643;
;204703;19,6;204703;-0,0085;204703;163,638;
;204603;18;204603;-0,0015;204603;163,672;
;204601;20;204601;0,009;204601;163,659;
;205001;5,6;205001;0;205001;163,669;
;204004;18;204004;-0,0035;204004;163,665;
;205003;15,9;205003;-0,0025;205003;163,648;
;204904;66,6;204904;0,002;204904;163,644;
;204804;45,8;204804;-0,0045;204804;163,647;
;204802;27,9;204802;0;204802;163,637;
;204704;47,4;204704;-0,0015;204704;163,686;
;204702;23,9;204702;-0,0075;204702;163,639;
;204604;36,5;204604;-0,0025;204604;163,681;
;204602;59,2;204602;0,003;204602;163,633;
;204503;37,1;204503;0,0045;204503;163,711;
;204502;13,3;204502;0,0075;204502;163,736;
;204404;17;204404;-0,005;204404;163,681;
;204402;18,8;204402;-0,004;204402;163,74;
;204304;55,5;204304;-0,006;204304;163,653;
;204302;32,5;204302;-0,0065;204302;163,712;
;204204;30,8;204204;-0,0055;204204;163,669;
;204202;23,2;204202;-0,0045;204202;163,668;
;204104;46,6;204104;-0,0065;204104;163,685;
