part_id;coaxiality;diameter;length
211601;37.7;0.017;163.638
211602;45.9;0.01;163.609
211603;31.5;0.007;163.61
211604;35;0.01;163.606
220802;26.3;-0.0005;163.658
220804;38.7;-0.0005;163.658
220902;31.8;0.002;163.653
220904;31;0.0005;163.658
221002;45.6;-0.0045;163.66
221004;37.5;-0.006;163.652
221101;49.9;0;163.641
221102;24.8;-0.0025;163.658
221103;47.4;-0.001;163.66
221104;26.4;0.0015;163.654
221201;10.3;-0.0025;163.661
221202;30.9;-0.0055;163.661
221203;22.8;-0.001;163.664
221204;31.5;-0.004;163.659
221301;12.4;-0.005;163.656
221302;50.8;-0.006;163.652
221303;36;-0.0055;163.662
221304;42.2;-0.0045;163.65
221401;66.5;-0.003;163.659
221402;39.6;0.0005;163.66
221403;39.5;-0.002;163.677
221404;42.2;-0.0025;163.658
221501;56.3;-0.001;163.658
221502;7.67;-0.001;163.645
221503;29.1;-0.0005;163.653
221504;43.3;0.001;163.647
221601;43.5;-0.005;163.661
221602;35.6;-0.008;163.663
221603;43;-0.003;163.662
221604;49.8;-0.007;163.654
221701;32.5;0.0005;163.663
221702;24.9;0.0025;163.648
221703;58.7;0.0015;163.674
221704;37.2;0.0035;163.656
222301;4.76;0.0015;163.656
222302;15.5;0.005;163.723
222303;32.2;0.0005;163.662
222304;8.92;-0.001;163.702
222401;30.5;0;163.689
222402;12.9;0.001;163.659
222403;41.9;0.0015;163.662
222404;38.7;0.0055;163.662
222501;26.5;-0.0015;163.701
222502;13.8;0;163.666
222503;18.9;0.003;163.653
222504;37.2;0;163.662
222601;29.9;0.003;163.668
222602;36.6;0.0035;163.726
222603;19.3;0.005;163.652
222604;40.7;0.0025;163.646
222701;49.2;0.0065;163.65
222702;12.7;0.004;163.676
222703;47.7;0.006;163.68
222704;41.5;0.006;163.662
222801;46.4;0.005;163.68
222802;57.3;0.0055;163.692
222803;24.3;0.0065;163.684
222804;62.6;0.0075;163.689
222901;31.9;0.0005;163.696
222902;23.4;0.005;163.69
222903;60;0.005;163.704
222904;34.3;0.007;163.687
223001;54.3;0.012;163.681
223002;29.5;0.018;163.666
223003;75.3;0.015;163.68
223004;6.22;0.018;163.679
223101;9.87;0.018;163.665
223102;11.8;0.0175;163.667
223103;30.5;0.014;163.682
223104;7.57;0.013;163.656
223201;26.9;0.015;163.662
223202;41.9;0.0175;163.676
223203;36.9;0.0135;163.667
223204;39.7;0.0165;163.674
223301;16;0.0205;163.671
223302;24.4;0.027;163.705
223303;22.5;0.02;163.654
223304;28.8;0.017;163.654
223401;4.79;-0.006;163.642
223402;19.6;-0.005;163.667
223403;17.8;-0.0055;163.657
223404;21.2;-0.0105;163.658
223501;31.7;-0.006;163.661
223502;20.6;-0.0065;163.669
223503;31.8;0.0135;163.667
223504;19.2;-0.0115;163.661
223601;49.3;-0.0115;163.647
223602;23.8;-0.016;163.656
223603;3.79;-0.018;163.666
223604;41;-0.013;163.658
223701;11.8;-0.0055;163.654
223702;33.1;-0.0135;163.644
223703;29.2;-0.0115;163.639
223704;45;-0.0155;163.705
223801;57.7;-0.0035;163.755
223802;29.2;-0.009;163.676
223803;29.6;-0.0095;163.682
223804;40.2;-0.0115;163.707
223901;60;0.001;163.733
223902;28.1;0.0045;163.687
223903;58.3;0.0015;163.638
223904;40.8;0.0045;163.725
224001;70.2;-0.004;163.702
224002;43.7;0.0115;163.71
224003;30.1;0.0015;163.715
224004;66.3;-0.005;163.741
224101;63.9;0.0035;163.728
224102;48;0.005;163.657
224103;64.1;0.004;163.706
224104;56.5;0.001;163.721
224201;57;0.001;163.713
224202;52.3;-0.007;163.683
224203;41.8;0.0005;163.701
224204;35.3;0.0135;163.682
224301;50.4;0.008;163.724
224302;56.1;-0.003;163.685
224303;61.5;0.018;163.686
224304;26.9;0.0155;163.68
224401;33.4;0.0125;163.69
224402;37.4;-0.0065;163.686
224403;39.4;0.002;163.687
224404;44;-0.0035;163.678
224501;32.8;-0.016;163.663
224502;15.8;-0.0055;163.666
224503;34.1;-0.0015;163.663
224504;14;-0.017;163.685
224601;18.9;-0.014;163.669
224602;21;-0.011;163.674
